id,text,offensive_substrings,offensive_sequences
24258,Fmm de balena hidoasa : Iancu cel mai mare hot si din fotbal.Iancu =tigan homosexual din giulesti,"['Fmm de balena hidoasa', 'cel mai mare hot', 'tigan homosexual']","[(0, 21), (30, 46), (68, 84)]"
42755,O TARA DE TARANI FARA DEMNITATE ASA AM FOST NOI ROMANI CURVE ORDINARE,"['TARANI FARA DEMNITATE', 'CURVE ORDINARE']","[(10, 31), (55, 69)]"
24258,"voi inventati comentarii bah panaramelor. UEFA nu are nici un amendament la premierea unor terte echipe pt. a castiga meciul. Deci nu are ce sa le faca Stelei. Punctul respectiv se refera strict la blaturi sau la aranjarea meciurilor pt. castiguri la casele de pariuri...Sunteti varza. Ia duceti-va la dna si dati-va in primire pt. tentativa de ""mituire"" a finlandei la calificarile pt. CM acum 2 ani...","['panaramelor', 'Sunteti varza']","[(29, 40), (271, 284)]"
17752,"Pentru URASC STEAUA :
 Ba cretinule , ma cac si pe Steaua si pe Dinamo si te fut in bot , jegosule , eu sunt Timisorean , cat de bou poti sa fii daca n-ai priceput nici macar asta?
 Du-te drq, boule , si sa-mi sugi ciorapii...","['cretinule', 'ma cac', 'te fut in bot', ' jegosule', 'cat de bou poti sa fii', 'Du-te drq, boule , si sa-mi sugi ciorapii...']","[(27, 36), (39, 45), (75, 88), (90, 99), (123, 145), (184, 228)]"
12760,"FRUSTRATILORRRRRRR NU MAI STITI CE SA INVENTATI INPOTRIVA STELEI
 RUSINE VOUA....VA DATI CU TIGANIII DE SUB POD...SAU CU LABELE TRISTE DE LA FANATIK..CARTIANU SI OBEZUL IVANOVICI","['FRUSTRATILORRRRRRR', 'TIGANIII DE SUB POD...SAU CU LABELE TRISTE', 'OBEZUL']","[(0, 18), (93, 135), (163, 169)]"
24162,"Mai lasa-ne bai Lucescule cu textele tale de onanist.Sa va fut in gat de tigani.Tu, batrane vezi-ti de liga din ucraina iar baiatu lu tata de liga a 2-a.mars la cacat tigani spurcati.","['onanist', 'Sa va fut in gat de tigani', 'mars la cacat tigani spurcati.']","[(45, 52), (53, 79), (153, 183)]"
24222,"Rusine !, ciobhanuleee esti rusinea tariii!!! cu arbitrii tai cu tot !!!","['ciobhanuleee', 'rusinea tariii']","[(10, 22), (28, 42)]"
24162,"Banele, sa ii bag Pu.l-a lu MA TA in ficatzi dandu-ne cu colacul pe topogan asa ca tine. Imi slobozesc Cristoacele pe mormantu rasei tale de aurolac. Ce cauti ma in Antalya ma turcule? Ai mers sa ii cauti pe otomanii care o violau pe MA TA neincetat, in frunte cu ""Clipa""? Dadeam-as pe topogan cu sicriu MA TII la Disneyland si vedea-ti-as putregaiu ala de fata improskata cu smekcleu de cei mai urati tigani din Balkani, in frunte cu MA TA.","['sa ii bag Pu.l-a lu MA TA in ficatzi', 'Imi slobozesc Cristoacele pe mormantu rasei tale de aurolac', 'turcule', 'otomanii care o violau pe MA TA neincetat', 'Dadeam-as pe topogan cu sicriu MA TII la Disneyland si vedea-ti-as putregaiu ala de fata improskata cu smekcleu de cei mai urati tigani din Balkani, in frunte cu MA TA.']","[(8, 44), (89, 148), (176, 183), (208, 249), (273, 441)]"
9682,:)) asa e dan:)) doar k ai uitat sa`i spui nebunului k direct proportional cu prostia lui...,['nebunului k direct proportional cu prostia lui'],"[(43, 89)]"
26512,"Multa M**e la idiotul de fan Dinamovist plus ca ii mai dau ""idem"" si lui ""gur""",['M**e la idiotul'],"[(6, 21)]"
9682,"sunt contemplat de imbecilitatea comentariilor afisate, care nu au nicio legatura cu un sport atat de antrenant cum este hocheiul.Cati dintre asa numitii ""forumisti"" se mai uita si la alte meciuri inafara de steaua-spoortclub, hc-sportclub, etc...Cine aprecieaza un njdevils, rangers, toronto, otawa??? Chiar nu vedeti ca sunteti dusi de nas?Trezirea...Ebreszto gyerekek!!(e traducerea lui ""trezirea"")",['imbecilitatea comentariilor'],"[(19, 46)]"
15084,"Bai fABREGAS chiar esti retard,cum naiba poti sa te mai numesti suporter ba RAHATULE,dute ba si spanzura-te!!!! Si voi moderatorii de pe blog, nu putetzi sa-l banatzi??","['retard', 'naiba', 'RAHATULE', 'dute ba si spanzura-te']","[(24, 30), (35, 40), (76, 84), (85, 107)]"
8244,"""coloratii"" de la rapid daca au vazut ca nu l-au putut cumpara acum arunca cu bors in el...Huo croncanitorilor......CRA CARAAAA!!!Da mazilu d ela voi cum a facut 4 milioane tiganilor?","['""coloratii""', 'croncanitorilor', 'tiganilor', 'CRA CARAAAA']","[(0, 11), (95, 110), (116, 127), (173, 182)]"
24996,"Ce i-a facut? Nici nu l-a atins! ...Si chiar daca ii dadea in cap cu 6-7 brichete tot nimic n-avea ... Sa mori in veceu Zotta !!! Si tiganii tai... ""de sub podu` Grand"" .","['Sa mori in veceu', 'tiganii']","[(103, 119), (133, 140)]"
21574,"""o va face"" e viitor si se scrie impreuna, retarzilor. In afara de injuraturi la stadion nu stiti nimic!",['retarzilor'],"[(43, 53)]"
43293,"ce se agita papagalii 
 dau gsp`ul o stire de 2 lei ...retardatii din romania si cu joburi de 2 lei sar in sus ...in numele dreptatii ...al corectitudinii ....ursu trece ...GOIAN are un salariu cat toti papagalii care scriu impotriva stelei ....si isi vede de treaba ..GSP face banelul ..tot dupa fraieri .........iar vooi FRAIERII va scoateti ochii pe forumuri ....si voi nu aveti o chifla in burta de saraci ce sunteti .....vaai de capul vostru de terminati psihic ..constipati mintal ce sunteti","[' papagalii ', 'retardatii', 'papagalii', 'fraieri', 'vooi FRAIERII va scoateti ochii', ' nu aveti o chifla in burta de saraci ce sunteti', 'vaai de capul vostru de terminati psihic ..constipati mintal ce sunteti']","[(11, 22), (55, 65), (203, 212), (297, 304), (318, 349), (372, 420), (426, 497)]"
21574,mai muie de DSAD ...stii ca ma-ta suge pula zilnic tuturor stelistilor si dupa fiecare meci ii dam sloboz? in mortii ma-tii de frant obosit du-te la coasa tzaranule si priveste clasamentul.,"['muie', 'ma-ta suge pula', 'ii dam sloboz', 'in mortii ma-tii de frant obosit', 'du-te la coasa tzaranule']","[(4, 8), (28, 43), (92, 105), (107, 139), (140, 164)]"
15391,sa-ti f#ta toti suporteri argesului care il regreta pe IONUT BADEA nevasta si toate femeile din jurul tau handicapat de patron ce ai dus argesu-n B,"['sa-ti f#ta', 'handicapat']","[(0, 10), (106, 116)]"
26586,"scuze...sunt un taran b/a/s/i/t si am uitat sa ma srerg la gura (asa-i ca p/u/t/e ?)
 mama a fost coarda mare si i-a fost mila de mine cand m-a c/a/c/a/t in asta lume mult prea dura pentru mine, asa ca va rog sa ma iertati daca uneori o mai iau razna...","['sunt un taran b/a/s/i/t si am uitat sa ma srerg la gura (asa-i ca p/u/t/e ?)', 'mama a fost coarda mare si i-a fost mila de mine cand m-a c/a/c/a/t']","[(8, 84), (87, 154)]"
15391,Si care i shmecheria cu faza asta? Mare kkt. Ma fu_t pe voi,"['Mare kkt', ' Ma fu_t pe voi']","[(35, 43), (44, 59)]"
20830,"meciul a fost de regula la dispozitia argesului, asa ca orice comentariu privind rezultatul nu poate fi facut fara a cadea in absurd. despre eliminare se poate spune ca se putea evita, dar ca arbitrul este acoperit de regulament.fotbalul romanesc a incaput pe mana unor handicapati, indiferent ce pozitie au in statele de plata: federali, arbitrii, presedinti, directori tehnici, etc, etc, etc. si cand incep handicapatii astia sa tina prelegeri despre arbitraje, reguli, regulamente ....???","['handicapati', 'handicapatii']","[(270, 281), (409, 421)]"
21326,"pisa-m-as pe toti bozgorii de la cfr care se cred furati de arbitrii! si ei de fapt II CUMPARA! luati zdrentelor, sa vedem ce mai inventati: porcusorul. com/porcusor/mic/iuliumuresan","['pisa-m-as pe toti bozgori', 'zdrentelor', 'porcusorul. com/porcusor/mic/iuliumuresan']","[(0, 25), (102, 112), (141, 182)]"
20830,sa va fut prietenele si nevestele de caini spurcati si ciori libidinoase,['sa va fut prietenele si nevestele de caini spurcati si ciori libidinoase'],"[(0, 72)]"
23237,"bai retardatilor v-ati facut ultima rugaciune?
 ungurule vino in abator in ghencea porc care ai o roaba de kaka in tine......kaka-te in cada","['retardatilor', 'v-ati facut ultima rugaciune?', 'ungurule vino in abator in ghencea porc care ai o roaba de kaka in tine', 'kaka-te in cada']","[(4, 16), (17, 46), (49, 120), (126, 141)]"
25655,LACATUS CA ESTI R A U SI B O L N A V DE N E B U N!,['R A U SI B O L N A V DE N E B U N'],"[(16, 49)]"
44677,mai sugeti P U L A mai distrusilor...de fiecare data cand bate Steaua e blat...a facut blat si cu galatasaray...retardatilor,"['mai sugeti P U L A mai distrusilor', 'retardatilor']","[(0, 34), (112, 124)]"
12552,"Ba cosmine ,da idiot mai esti!ce trebuia sa scrie ziarul,ca au pierdut? sau poate ""Brasovul a batut doar cu 2-0 Inter Milano ??",['idiot'],"[(15, 20)]"
44677,"bai uiva,mars dracu in india,cretini ca tine ne fac ardealul de ras","['mars dracu', 'cretini ca tine ne fac ardealul de ras']","[(9, 19), (29, 67)]"
12552,"Bai retardatilor uitativa la voi STITI CUM se face la Flagrante eu lucrez in domeniu se duce pe pista si se surprind asupra faptului persoanele care dau bani altor persoane.Dar daca se dovedea ca acei bani care sau inmanat altor persoane in cazul de fata cei de la U Cluj atunci nu mai trebuia martori era caseta video ca proba daca nu nu au ce sa le faca ar fi ca si cum as umbla eu 1,7 milioane de euro la un meci STEAUA-BARCELONA ASTA inseamna ca e blat sunteti niste ipocriti","['retardatilor', 'ipocriti']","[(4, 16), (471, 479)]"
15205,"pentru david
 daca ejaculam toti stelistii
 facem inundatie in cluj",['daca ejaculam toti stelistii\\nfacem inundatie in cluj'],"[(14, 67)]"
24894,Dava-s la muie !!! RESPECT PENTRU SUPORTERII VASLUIENI iar tu porumboiule dute si ridicai chilotii lu mata si numai comenta atata ratatule !!! Sa ne cumperi geam fmm !!! te crezi la mata acasa de spargeti geamuri fmm de tarani neciopliti !!!,"['Dava-s la muie', 'ridicai chilotii lu mata', 'numai comenta atata ratatule', 'fmm', 'te crezi la mata acasa de spargeti geamuri', 'fmm de tarani neciopliti']","[(0, 14), (82, 106), (110, 138), (162, 165), (170, 212), (213, 237)]"
24993,"Avem si noi o intrebare ... c.i.o.a.r.a. de prostie moare? Imi pare bine ca mi s-a raspuns in cele din urma la aceasta intrebare! Rednic, le-ai dat peste nas, pacat ca ai fost singurul om de caracter din acel club.",['c.i.o.a.r.a. de prostie moare'],"[(28, 57)]"
24894,cand steaua lua liga campinoilor muresan ii scarpina in cur pe psucariasi....retaradtilor...nu va puteti compara cu noi niciodata..jegosilor...23 titluri 20 de cupe 1 CUPA A CAMPIONILOR EUROPENI O SUPERCUPA A EUROPEI>..MUIE CFR...baga-mi-as p.uI.@ in mor#ti mamelor voastre de bozgori....SEMPER FIDELIS SEMPER SVUPERIORES,"['ii scarpina in cur', 'retaradtilor', 'jegosilor', 'MUIE', 'baga-mi-as p.uI.@ in mor#ti mamelor voastre de bozgori']","[(41, 59), (77, 89), (131, 140), (219, 223), (230, 284)]"
24993,"Mai handicapatilor, mai aurolacilor, mai boschetarilor pai daca voi aveti atita tupeu sa vorbiti de steaua in halul asta inseamna ca aveti hrindel in loc de creier. Sunt convins ca si o rima sau plosnita are o judecata mai evoluata decit a voastra. Cit priveste Trica cu a lui capatina mica, cred ca se inscrie in linia infantililor clujeni. Cum e turcu si pistolul. Ce pretentii sa ai la el cind il are sef pe muierusan.","['handicapatilor', 'aurolacilor', 'boschetarilor', ' aveti hrindel in loc de creier', 'o rima sau plosnita are o judecata mai evoluata', 'a lui capatina mica']","[(4, 18), (24, 35), (41, 54), (132, 163), (184, 231), (271, 290)]"
38329,"Urmeaza cupa?urmeaza sa i-o tragem la lorena..............Trica fereste-te din calea noastra ,oricum te prindem pana la urma.NU o sa scapi!oltean borat..HAIDE U","['sa i-o tragem la lorena', 'fereste-te din calea noastra', 'NU o sa scapi', 'oltean borat', 'te prindem pana la urma']","[(21, 44), (64, 92), (101, 124), (125, 138), (139, 151)]"
34559,"Rog prin intermediul dumneavoastra pe acest voiculescu sa nu mai transmita pe antena 1 ce vrea muschiul lui.Ia cumpar eu o sticla de wisichi pe saptamana ca sa nu mai atarne la mana amaratului de becali, sa ne dea zilnic doar pe handicaparul de mandruta si noaptea pe sexoasa mihaela,ce nevoie avem noi de fotbal care ia bagat bani in buzunar.Dolce tv sa ne dea taraf si etno educative si pe elodia episodul 4550. 
 va multumesc ptr.rabdare 
 un fost roman","['ce vrea muschiul lui', 'handicaparul', 'sexoasa', 'sa nu mai atarne la mana amaratului']","[(87, 107), (157, 192), (229, 241), (268, 275)]"
23250,"pt topic... Golanski e excelent si ar trebui sa joace mai mult....
 pt idioti... romania e formata din multe orase si judete si din aprox 23 de milioane de locuitori... discutii de genul 'Bucuesti(cluj) e cel mai mare si ma tare' sunt mai mult decat stupide.... aceasta e atitudinea care respra de la cluj, si aceasta e mentalitatea care trebuie sa ne duca inainte....
 in rest HAIDE STEAUA! e nr 1 in Romania
 si asta din partea unui clujean",['idioti'],"[(72, 78)]"
25845,toata presa de astazi l-a dat pe Diaconu arbitru....numai sluga argaseala nu stie...futy-va mortzyy in gura de stelisti comunisti,"['futy-va mortzyy in gura', 'stelisti comunisti']","[(84, 107), (111, 129)]"
27695,"Ba retarzilor, nu mai cenzurati atat... lasati publicul sa se manifeste liber. Aia de la Pro ---- Sport tot asa fac ?????",['retarzilor'],"[(3, 13)]"
25845,"organele abilitate de ce nu se sesizeaza la deklaratiile retardatului? dragomir sa luat de aia k nu aveau ambulanta, dar pe zreanta de fekly il lasa in pace. kit o sa -l mai vedem pe panarama asta de fekly? la puskrie ku el si ku cei kre-l sustin.","['retardatului', 'zreanta', 'panarama', 'la puskrie']","[(57, 69), (124, 131), (183, 191), (207, 217)]"
27695,"AUZI RADUCIOARO LA NOI LA LOS ANGELES VINIT ZUPADA,ASA STIE TU VORBESTE ROMANESCA CIND TU AVUT DOI TREI ZILE LOCUIT IN CISMA HA,HA HA MA .pE LINGA CA ESTE PROSTU LA TINE MAI PUI SI FRINA. IDIOTEEEEEEEEEEEEEEEEEEEEEEEEEEEEE","['RADUCIOARO', 'PROSTU', ' IDIOTEEEEEEEEEEEEEEEEEEEEEEEEEEEEE']","[(5, 15), (155, 161), (187, 222)]"
21149,"draga marius daca ai fost abuzat de tatal tau in copilarie si asta e singurul motiv pentru care ti-au crescut plete asta e acum,tu esti un abuz asta nu inseamna ca si dayro este ca tine...nu e fetita...el chiar are nevasta...dar...tu mai ai mult pana acolo probabil acum esti pasiv in fata calculatorului...hai gata ne vedem la parada cand o sa =-ti dau cu pietre in ochi...gay-uuuulllee","['abuzat de tatal tau in copilarie', 'esti un abuz', 'o sa =-ti dau cu pietre in ochi...gay-uuuulllee']","[(26, 58), (131, 143), (340, 387)]"
43683,dal in mort ii masi ii pe unguru asta jegos sa vina alt antrenor de valoare Forza Rapid,"['dal in mort ii masi', 'unguru asta jegos']","[(0, 19), (26, 43)]"
16152,"IANU TREBUIE IMPUSCAT,NU-S OLTEAN,NICI DIN BANAT,DAR UMFLATU ALA TREBUIE IMPUSCAT ! CE CACAT DE PERFORMANTE FACE IN LIGA 1,EL SE IA DE TOTI,IMPUSCATILLLLLLLLLLLLL in cur","['TREBUIE IMPUSCAT', 'UMFLATU ALA TREBUIE IMPUSCAT', 'CE CACAT', 'IMPUSCATILLLLLLLLLLLLL in cur']","[(5, 21), (53, 81), (84, 92), (140, 169)]"
16500,"da...e clar,nu jucam fotbal.Piturca(ma repet) nu e antrenorul care sa gaseasca solutii.Faptul ca nu are concurenta,poate sta batut in cuie in fotoliul de selectioner mult si bine.Nationala trebuie remaniata cu jucatori tineri si suplii,inalti si suficient de agili si mai ales cu CARACTER.Antrenorul insusi trebuie sa aiba caracter.Avem o nationala de mingicari care joaca fotbal dupa ureche,piturchisme tiganesti precum taraful din Scornicesti.Oameni mici...fotbal pe maura.","['mingicari', 'piturchisme tiganesti']","[(352, 361), (392, 413)]"
21654,"Unde sunteti cioricilor, ati ramas blocati pe site-ul lui BORO ? Au trecut deja doi ani... Ar fi cazul sa mai intrati si pe aici, daca aveti sange'n ""tolba""... Sau voi imntrati numai pe alte sit-uri cand puteti ""croncani"" vrute si nevrute sub protectia unui nik ?! :))))","['cioricilor', 'daca aveti sange\'n ""tolba""', '""croncani""']","[(13, 23), (130, 156), (211, 221)]"
8480,"Fratilor am dat de dracu daca transmit incopetentii astia meciurile nationalei. Comentatori mai idioti ca astia nu am vazut. La meciul de sambtata seara se uitau la steaua - pandurii si comentau alt meci. Nu cred ca exista comentatori mai incompetenti si mai idioti ca cei de la Antena 1, cu toata parerea de rau ptr postul Antena 1 care este totusi un post cu oameni profesionisti. Datii dracului afara pe aia si trimitetii sa mulga vacile lui Trica","['am dat de dracu', 'incopetentii', 'idioti', 'incompetenti', 'idioti', 'Datii dracului afara', 'trimitetii sa mulga vacile']","[(9, 24), (39, 51), (96, 102), (96, 102), (239, 251), (259, 265), (259, 265), (383, 403), (414, 440)]"
14601,BAI GIGI CRED CA ESTI CEL PUTIN CRETIN !!!!!!CINE PULA MEA E MIREL RADOI SA DAI PESTE CAP UN CLUB INTREG PT EL ???? ESTE CUMVA MIREL PE CARE DOREAI SA-L VINZI PE MILIOANE IN ANGLIA ???ESTE CUMVA MIREL CARE DOREAI SA-L BAGI PE GAT LA REAL MADRID ???CHIAR EL SA FIE ??? MA LASI CU PAPAGALUL TAU !!!!!!!SA STEA IN PULA MEA IN GHENCEA CA NU-L IA NIMENI !!!!!POATE BAIETII DE LA CONCORDIA CHIAJNA SA AIBA NEVOIE DE EL !!!!!,"['CRETIN', 'PULA MEA', 'PAPAGALUL ', ' PULA MEA']","[(32, 38), (50, 58), (279, 289), (310, 319)]"
8497,"pai ce sa faci, ""oieru trebuie sa fie mereu pe prima pagina, restul poate sa astepte la rand ca sunt niste hahalere, zdrente....si numai el e important"" Trist, dar se pare ca noul format al site-ului este facut ca sa se bage Becali in seama mai mult. Vreau si eu o zi in care sa nu se mai vorbeasca de Becali.","['oieru', 'hahalere', 'zdrente']","[(17, 22), (107, 115), (117, 124)]"
14601,"Foarte slab promo-ul, primitiva alaturarea asa-ziselor simboluri nationale, vodka-tuica, esenin-eminescu, kremlin-casa poporului. Mai lipseau nicoleta luciu si anna kurnikova (obligatoriu despuiate amindoua) ca sa priceapa tot cretinu' care se uita la sport ca joaca romania cu rusia. Va mai si laudati cu lipsa voastra de imaginatie...","['despuiate', ""sa priceapa tot cretinu'""]","[(188, 197), (211, 235)]"
27582,"Is curios daca conducea steaua in min 73 se mai agitau asa tiganii de la rapid?
 Niste milogi, asta sunt cei de la Rapid!","['tiganii', 'milogi']","[(59, 66), (88, 94)]"
37675,se ia si penescu dupa becali . vai de capu tau penescule esti un cretin penibil . ne pisam pe banii tai,"['cretin penibil', 'ne pisam']","[(65, 79), (82, 90)]"
37654,"ba ce fraieri sunteti! v-au ingropat suporterii, tiganii vostri=))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))) nici rapidistii nu tin cu voi=)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))","['tiganii vostri', 'fraieri']","[(6, 13), (49, 63)]"
17159,"magica rroma, s-o iau pe magica matha si s-o frec eu in anus, jegule!","['s-o iau pe magica matha si s-o frec eu in anus', 'jegule']","[(14, 60), (62, 68)]"
37654,bn`.. ma hai sa fim oameni seriosi si ei stiu k nu ar putea sa lase niste ciori in ucl ar face romania de kk qm ne va face si cfrasa k makro echipa sa mai miste ceva pe akol rapidce poate sa..fak dekt sa viseze in continuare la pomane .........ce zicea copos k iei nu merg asa in ucl si aq fak apel k sa ia locul stelei`..statzi linistitzi nu`ss aia asa prosti k voi`. fortza steaua,"['ciori', 'ar face romania de kk', 'prosti']","[(74, 79), (87, 108), (354, 360)]"
23999,"Tziganusii vorbesc ei amindoi de ce-i corect si ce nu...Cociori belite,corsicei avortati...","['Tziganusii', 'Cociori belite', 'corsicei avortat']","[(0, 10), (56, 70), (71, 87)]"
22239,si ce vrea fratilor lovin?e puscarie sa moara masa............2-1 pt otelul.....suntem terminati........rusine lacatus,['sa moara masa'],"[(37, 50)]"
25606,bagav-as drobu in nas la toate panaramele de oameni a caror nume se termina in blestematul pesntru tara asta de -ESCU.sudistii dreaq de lighioane!,"['bagav-as drobu in nas la toate panaramele', 'sudistii dreaq de lighioane']","[(0, 41), (118, 145)]"
31714,"ce sa-i ceri lu' pancu?...de sapunaru nu ziceti nimic?sau dormeati cand a facut semne obscene timp e vreo 2 minute incontinuu spre sectorul nostru?dar nu ai ce sa le ceri acestor ''oameni''.pana si nae manea nu s-a lasat mai prejos decat ei,le-a aratat tuturor ce inseamna un conducator de club adevarat.sunteti T.I.G.A.N.I in cel mai adevarat sens al cuvantului...gunoierilor","[""''oameni''"", 'T.I.G.A.N.I', 'gunoierilor']","[(179, 189), (312, 323), (365, 376)]"
18322,Ba rahat frate cu cioara fa apel la ciorile din plop sa nu mai arunce in teren ca trebuia sa aveti 10 etape de suspendare si 6 puncte penalizare ba aia au fost blanzi cu voi,"['rahat', 'cioara', 'ciorile din plop']","[(3, 8), (18, 24), (36, 52)]"
40858,"cum se face ca rapid nu jaoca nimik?? blatu :))0 cum sa vb de steauya cand dinmao si rapid se dau la o parte sa castige unguri!!
 ORICUM vom fi campioni indiferent ca vau dat tigani meciu!!!!:))) ne doare la pula batem si stam la 2 puncte de voi! BLAT BLAT BLAI BLAt!!!!!!","['tigani', 'ne doare la pula']","[(176, 182), (197, 213)]"
24460,sa te fout argaseala cu tehnologia ta cu biletele!!! am stat 1 ora in imbranceala totala sa pot sa intru pe o portita kakamas pe sistemu` tau!!!! in rest toate bune FORZA STEAUA!!!!!,"['sa te fout', 'kakamas']","[(0, 10), (118, 125)]"
44636,Ptr @ Capitalistul Sa ne pisam cu bucurie pe capitala voastra ..nu ne reprezentati pe noi pe niciunde ptr ca nu va suportam .pe voi Stelisti..dinamovisti..etc,['Sa ne pisam'],"[(19, 30)]"
26065,"SA DE DOMNU CA TOTI RAPIDISTI ,CAINI, CLUJENI,TIMISORENI CARE CITEST ACESTE RANDURI SA MURITI IN CHINURI GROAZNICE SI SA FACEI INFART SI VOI SI FAMILIA VOASTRA .","['CAINI', 'SA MURITI IN CHINURI GROAZNICE SI SA FACEI INFART SI VOI SI FAMILIA VOASTRA ']","[(31, 36), (84, 160)]"
44636,"mai fataraule copil de kourva,pe voi na fost,blatistilor moarte lui radoia kurva mati de prazar ai fugit in bucale bemiai poula cu mata!!!!!!!!!!","['fataraule', 'copil de kourva', 'moarte lui radoia', 'kurva mati de prazar', 'bemiai poula cu mata']","[(4, 13), (14, 29), (57, 74), (75, 95), (115, 135)]"
43551,",ti-ai dreacu de broscari nesimtiti. voi sunteti jegosi si chiar raiosi . va meritati soarta. dar nu va suparati, venitiveniti sa ne frecati toate zdrentele noastre. noi o sa jucam fotbal la EU RO.","['ti-ai dreacu', 'broscari nesimtiti', ' jegosi', 'raiosi', 'sa ne frecati toate zdrentele noastre']","[(1, 13), (17, 35), (48, 55), (65, 71), (127, 164)]"
8785,"dica de cit sa vorbesti mai bine tyaci ca esti un retardat.Stancu sa nu faca greseala sa plece de la urziceni ca isi va distruge viitorul.steau va cadea si greu isi va reveni. STEAU=HOTIE, BLATURI","['mai bine tyaci', 'retardat', 'HOTIE']","[(24, 38), (50, 58), (182, 187)]"
21863,"ne-am saturat de tine fraiere!!!!!!!!!!! aPARI pe sticla de 473 de ori pe zii, mai du-te draq d-aici de ungur prost","['fraiere', 'du-te draq', 'ungur prost']","[(22, 29), (83, 93), (104, 115)]"
22686,AI DREAQ DE ZDRENTZE SI HAHALERE DE LA GSP CE SUNTETI NISTE TARFE PROASTE LUATI MUIE PE 200 DE EURO MUISTI PROSTI CE SUNTETI LUATI M*UIE DE LA MINE...,"['AI DREAQ', 'ZDRENTZE', 'HAHALERE', 'TARFE PROASTE', 'LUATI MUIE', 'MUISTI PROSTI', 'LUATI M*UIE']","[(0, 8), (12, 20), (24, 32), (60, 73), (74, 84), (100, 113), (125, 136)]"
16850,"tiganoiu' ala e trica face de ras Romania, ala n-are ce sa caute in lotul Romaniei cu Rusia! Tiganoi imputit, scandalagiu, sa-i dea unu' jos dintii aia, ca nu-l mai suport!","[""tiganoiu'"", 'Tiganoi imputit', 'scandalagiu', ""sa-i dea unu' jos dintii""]","[(0, 9), (93, 108), (110, 121), (123, 147)]"
19501,"nemernicilor!! orice deposedare din lateral spate chiar daca atinge sau respinge mingea odata cu piciorul este fault intai si abia apoi interventie curata. dar daca aveti acces la paine si cutit, scrieti ce si cum va convine.CE POTI CERE UNOR TARANI DE AI LUI LAPUSNEANU!!!!!","['nemernicilor', 'TARANI']","[(0, 12), (243, 249)]"
13103,"pagubosilor c trebuia sa-i taie capul tiganii in giulesti k sa intrerupa meciul.puneti-va in locul lui sa arunce niste zdrentze cu brichete in voi.c azti face voi,k va dati viteji.zdrentzelor","['pagubosilor', 'zdrentze', 'zdrentzelor', 'sa-i taie capul tiganii']","[(0, 11), (119, 127), (180, 191), (22, 45)]"
25089,"Jet ma ungur infect!!!AFARA AFARA CU BOZGORII DIN TARA!!!!Fgm de jegos infect cu echipa ta cu tot, ca trebuia sa va rupem capul la cel putin 10goluri!!!bate tadici la voi ca la covoara!!!TradeMark Popa de la Poli Iasi:D","['Jet ma ungur infect', 'AFARA AFARA CU BOZGORII DIN TARA', 'Fgm', 'jegos infect', 'sa va rupem capul', 'bate tadici la voi ca la covoara']","[(0, 19), (22, 54), (58, 61), (65, 77), (110, 127), (152, 184)]"
39388,"Si voi scl.avilor de la gsp: lasati-ma dreaq sa scriu CI-OB>AN, ca asa e ala. Ala nu e domn, e un j.e.g.o.s. Scl.avilor impwtiti.","['scl.avilor', 'dreaq', 'CI-OB>AN', 'j.e.g.o.s.', 'Scl.avilor impwtiti']","[(7, 17), (39, 44), (54, 62), (98, 108), (109, 128)]"
11869,pt oieru' sifilitic: -cat i-ai dat hotului de arbitru sa-i fure pe urziceni in halul asta? cioban paranoic si de kkt! hai dinamo!,"[""oieru' sifilitic"", 'cioban paranoic si de kkt']","[(3, 19), (91, 116)]"
19200,"""Dupa joc, Steaua nu prea arata a campioana. Au dat 6-7 goluri din faze fixe, pentru ca bate bine Mendoza ALA"" Mare cioban mai e trica ""ala""",['cioban'],"[(116, 122)]"
22113,sa futa pa masa ala care l-o bagat pa nicolita si in lot nu numa in primu 11.,['sa futa pa masa'],"[(0, 15)]"
39444,cu tot scandalul asta aiurea dinamo va bat ciorile la ele acasa!!FORZA DINAMO!!!!!,['ciorile'],"[(43, 50)]"
20709,"Lucescu pro-rapid ?!? Vai ce nouatate! La asta chiar nu ma asteptam! Pffffff
 
 Eu propun ca Steaua sa fie depunctata cu 342 de puncte pentru ca a acceptat sa joace meciul, Nesu sa fie exclus din fotbal pentru ca l-a faultat pe Pancu in alta parte decat la mijlocul terenului, arbitrului sa i se sparga capul (suporterii n-au reusit) si sa i se taie mainile cu care a facut semnul de oprire a meciului.
 Asa e corect, nu GSP?","['arbitrului sa i se sparga capul', 'sa i se taie mainile']","[(279, 310), (339, 359)]"
10449,"Andone daca asta e declaratia ta dupa meci ori esti nebun ori esti ..... nebun. Ar trebui sa fi multumit ca ati scapat doar cu 1-0. Rapidul a fost pe departe echipa mai buna, iar tu Mureseane ciocu mic ca spui numai aberatii, ti-a suflat jiji in gura? HAI RAPIDDDDDDDDDD!","['nebun', 'nebun', 'ciocu mic', 'ti-a suflat jiji in gura']","[(52, 57), (52, 57), (73, 78), (73, 78), (192, 201), (226, 250)]"
